fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,sweep_lookback,require_sweep,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,avg_mc_prob_profit_%,avg_mc_p05_return_%,avg_mc_median_max_dd_%,valid_ticker_count,score
21,42,14,1.0,1.0,2.5,4.0,100,0.015,5,False,163.2375,784.2650000000001,-33.325,12.25,53.572500000000005,162.115,-126.66250000000001,1.2999999999999998,1.6225,27.735,65.66250000000001,-6.54,-3.605,4,66.22725
21,42,14,1.0,1.0,2.5,4.0,100,0.015,10,False,163.2375,784.2650000000001,-33.325,12.25,53.572500000000005,162.115,-126.66250000000001,1.2999999999999998,1.6225,27.735,65.66250000000001,-6.54,-3.605,4,66.22725
21,42,14,1.0,1.0,2.0,4.0,100,0.015,20,False,162.3525,784.2650000000001,-33.4725,12.25,53.572500000000005,151.67000000000002,-126.63000000000001,1.2149999999999999,1.525,22.322499999999998,63.0125,-6.73,-3.6325000000000003,4,63.43775000000001
21,42,14,1.0,1.0,2.0,4.0,100,0.015,5,False,162.3525,784.2650000000001,-33.4725,12.25,53.572500000000005,151.67000000000002,-126.63000000000001,1.2149999999999999,1.525,22.322499999999998,63.0125,-6.73,-3.6325000000000003,4,63.43775000000001
21,42,14,1.0,1.0,2.0,4.0,100,0.015,10,False,162.3525,784.2650000000001,-33.4725,12.25,53.572500000000005,151.67000000000002,-126.63000000000001,1.2149999999999999,1.525,22.322499999999998,63.0125,-6.73,-3.6325000000000003,4,63.43775000000001
14,84,14,0.8,1.0,2.5,3.0,100,0.015,5,False,149.26250000000002,740.07,-32.400000000000006,11.0,42.9475,329.47749999999996,-137.30249999999998,2.165,1.4124999999999999,43.855,59.775,-8.6575,-4.66,3,50.41825
14,84,14,0.8,1.0,2.5,3.0,100,0.015,20,False,149.26250000000002,740.07,-32.400000000000006,11.0,42.9475,329.47749999999996,-137.30249999999998,2.165,1.4124999999999999,43.855,59.775,-8.6575,-4.66,3,50.41825
14,84,14,0.8,1.0,2.5,3.0,100,0.015,10,False,149.26250000000002,740.07,-32.400000000000006,11.0,42.9475,329.47749999999996,-137.30249999999998,2.165,1.4124999999999999,43.855,59.775,-8.6575,-4.66,3,50.41825
14,84,14,0.8,1.0,2.5,4.0,100,0.015,10,False,148.7175,740.07,-39.345,11.0,42.9475,330.3775,-137.1825,2.1799999999999997,1.4200000000000002,44.4075,59.900000000000006,-9.040000000000001,-4.69,3,49.08175
14,84,14,0.8,1.0,2.5,4.0,100,0.015,20,False,148.7175,740.07,-39.345,11.0,42.9475,330.3775,-137.1825,2.1799999999999997,1.4200000000000002,44.4075,59.900000000000006,-9.040000000000001,-4.69,3,49.08175
14,84,14,0.8,1.0,2.5,4.0,100,0.015,5,False,148.7175,740.07,-39.345,11.0,42.9475,330.3775,-137.1825,2.1799999999999997,1.4200000000000002,44.4075,59.900000000000006,-9.040000000000001,-4.69,3,49.08175
14,84,14,0.8,1.0,2.0,3.0,100,0.015,5,False,148.4725,740.07,-35.30500000000001,11.0,42.9475,306.65000000000003,-137.76,2.0225,1.325,35.3875,58.25,-8.73,-4.6375,3,47.099999999999994
14,84,14,0.8,1.0,2.0,3.0,100,0.015,20,False,148.4725,740.07,-35.30500000000001,11.0,42.9475,306.65000000000003,-137.76,2.0225,1.325,35.3875,58.25,-8.73,-4.6375,3,47.099999999999994
14,84,14,0.8,1.0,2.0,3.0,100,0.015,10,False,148.4725,740.07,-35.30500000000001,11.0,42.9475,306.65000000000003,-137.76,2.0225,1.325,35.3875,58.25,-8.73,-4.6375,3,47.099999999999994
14,84,14,0.8,1.5,2.5,3.0,100,0.015,5,False,148.7125,740.07,-32.987500000000004,11.0,33.855,402.1125,-140.0025,2.6775,1.365,43.48499999999999,52.6125,-10.18,-5.4825,3,46.5295
14,84,14,0.8,1.5,2.5,3.0,100,0.015,20,False,148.7125,740.07,-32.987500000000004,11.0,33.855,402.1125,-140.0025,2.6775,1.365,43.48499999999999,52.6125,-10.18,-5.4825,3,46.5295
14,84,14,0.8,1.5,2.5,3.0,100,0.015,10,False,148.7125,740.07,-32.987500000000004,11.0,33.855,402.1125,-140.0025,2.6775,1.365,43.48499999999999,52.6125,-10.18,-5.4825,3,46.5295
14,84,14,0.8,1.0,2.0,4.0,100,0.015,20,False,147.8775,740.07,-39.485,11.0,42.9475,309.515,-137.725,2.0425,1.335,36.557500000000005,58.224999999999994,-9.17,-4.6725,3,46.39200000000001
14,84,14,0.8,1.0,2.0,4.0,100,0.015,10,False,147.8775,740.07,-39.485,11.0,42.9475,309.515,-137.725,2.0425,1.335,36.557500000000005,58.224999999999994,-9.17,-4.6725,3,46.39200000000001
14,84,14,0.8,1.0,2.0,4.0,100,0.015,5,False,147.8775,740.07,-39.485,11.0,42.9475,309.515,-137.725,2.0425,1.335,36.557500000000005,58.224999999999994,-9.17,-4.6725,3,46.39200000000001
14,84,14,0.8,1.5,2.0,3.0,100,0.015,5,False,148.255,740.07,-35.5025,11.0,33.855,386.8025,-140.1775,2.5650000000000004,1.3250000000000002,39.207499999999996,52.949999999999996,-10.0675,-5.42,3,44.83850000000001
14,84,14,0.8,1.5,2.0,3.0,100,0.015,20,False,148.255,740.07,-35.5025,11.0,33.855,386.8025,-140.1775,2.5650000000000004,1.3250000000000002,39.207499999999996,52.949999999999996,-10.0675,-5.42,3,44.83850000000001
14,84,14,0.8,1.5,2.0,3.0,100,0.015,10,False,148.255,740.07,-35.5025,11.0,33.855,386.8025,-140.1775,2.5650000000000004,1.3250000000000002,39.207499999999996,52.949999999999996,-10.0675,-5.42,3,44.83850000000001
14,84,14,0.8,1.5,2.0,4.0,100,0.015,20,False,148.575,740.07,-39.575,11.0,33.855,387.75500000000005,-140.02499999999998,2.55,1.3199999999999998,39.87499999999999,51.587500000000006,-10.15,-5.4375,3,43.918499999999995
14,84,14,0.8,1.5,2.0,4.0,100,0.015,10,False,148.575,740.07,-39.575,11.0,33.855,387.75500000000005,-140.02499999999998,2.55,1.3199999999999998,39.87499999999999,51.587500000000006,-10.15,-5.4375,3,43.918499999999995
14,84,14,0.8,1.5,2.0,4.0,100,0.015,5,False,148.575,740.07,-39.575,11.0,33.855,387.75500000000005,-140.02499999999998,2.55,1.3199999999999998,39.87499999999999,51.587500000000006,-10.15,-5.4375,3,43.918499999999995
14,84,14,0.8,1.5,2.5,4.0,100,0.015,10,False,148.6,740.07,-39.485,11.0,33.855,394.2775,-139.905,2.5875,1.3225,41.372499999999995,48.962500000000006,-10.487499999999999,-5.56,3,43.827749999999995
14,84,14,0.8,1.5,2.5,4.0,100,0.015,5,False,148.6,740.07,-39.485,11.0,33.855,394.2775,-139.905,2.5875,1.3225,41.372499999999995,48.962500000000006,-10.487499999999999,-5.56,3,43.827749999999995
14,84,14,0.8,1.5,2.5,4.0,100,0.015,20,False,148.6,740.07,-39.485,11.0,33.855,394.2775,-139.905,2.5875,1.3225,41.372499999999995,48.962500000000006,-10.487499999999999,-5.56,3,43.827749999999995
14,84,14,0.8,1.0,2.5,3.0,150,0.015,20,False,130.59250000000003,740.07,-35.595,10.5,40.302499999999995,323.90749999999997,-133.9775,2.1574999999999998,1.31,35.5875,53.037499999999994,-8.9275,-4.76,3,42.133750000000006
14,84,14,0.8,1.0,2.5,3.0,150,0.015,5,False,130.59250000000003,740.07,-35.595,10.5,40.302499999999995,323.90749999999997,-133.9775,2.1574999999999998,1.31,35.5875,53.037499999999994,-8.9275,-4.76,3,42.133750000000006
14,84,14,0.8,1.0,2.5,3.0,150,0.015,10,False,130.59250000000003,740.07,-35.595,10.5,40.302499999999995,323.90749999999997,-133.9775,2.1574999999999998,1.31,35.5875,53.037499999999994,-8.9275,-4.76,3,42.133750000000006
14,84,14,1.0,1.0,2.5,4.0,100,0.015,10,False,108.03500000000001,740.07,-31.957499999999996,11.0,49.9225,192.17000000000002,-124.7475,1.5075,1.395,28.655,57.974999999999994,-6.9025,-3.71,3,41.91175
14,84,14,1.0,1.0,2.5,4.0,100,0.015,20,False,108.03500000000001,740.07,-31.957499999999996,11.0,49.9225,192.17000000000002,-124.7475,1.5075,1.395,28.655,57.974999999999994,-6.9025,-3.71,3,41.91175
14,84,14,1.0,1.0,2.5,4.0,100,0.015,5,False,108.03500000000001,740.07,-31.957499999999996,11.0,49.9225,192.17000000000002,-124.7475,1.5075,1.395,28.655,57.974999999999994,-6.9025,-3.71,3,41.91175
14,42,14,1.0,1.5,2.0,4.0,100,0.015,5,False,125.26250000000002,784.2650000000001,-34.13250000000001,10.75,42.6375,208.60000000000002,-131.9025,1.5899999999999999,1.38,11.67,56.599999999999994,-7.445,-4.550000000000001,3,41.221000000000004
14,42,14,1.0,1.5,2.0,4.0,100,0.015,20,False,125.26250000000002,784.2650000000001,-34.13250000000001,10.75,42.6375,208.60000000000002,-131.9025,1.5899999999999999,1.38,11.67,56.599999999999994,-7.445,-4.550000000000001,3,41.221000000000004
14,42,14,1.0,1.5,2.0,4.0,100,0.015,10,False,125.26250000000002,784.2650000000001,-34.13250000000001,10.75,42.6375,208.60000000000002,-131.9025,1.5899999999999999,1.38,11.67,56.599999999999994,-7.445,-4.550000000000001,3,41.221000000000004
21,42,14,1.0,1.5,2.0,4.0,100,0.015,5,False,129.92249999999999,784.2650000000001,-33.635,11.5,40.525000000000006,248.685,-128.8,1.8475,1.3974999999999997,2.7250000000000023,56.0125,-7.7325,-5.210000000000001,3,41.09699999999998
21,42,14,1.0,1.5,2.0,4.0,100,0.015,10,False,129.92249999999999,784.2650000000001,-33.635,11.5,40.525000000000006,248.685,-128.8,1.8475,1.3974999999999997,2.7250000000000023,56.0125,-7.7325,-5.210000000000001,3,41.09699999999998
21,42,14,1.0,1.5,2.0,4.0,100,0.015,20,False,129.92249999999999,784.2650000000001,-33.635,11.5,40.525000000000006,248.685,-128.8,1.8475,1.3974999999999997,2.7250000000000023,56.0125,-7.7325,-5.210000000000001,3,41.09699999999998
14,42,14,1.0,1.5,2.0,3.0,100,0.015,20,False,124.65,784.2650000000001,-31.035,10.75,42.6375,203.22,-131.5875,1.5499999999999998,1.33,8.8125,56.087500000000006,-7.522499999999999,-4.555000000000001,3,40.472750000000005
14,42,14,1.0,1.5,2.0,3.0,100,0.015,10,False,124.65,784.2650000000001,-31.035,10.75,42.6375,203.22,-131.5875,1.5499999999999998,1.33,8.8125,56.087500000000006,-7.522499999999999,-4.555000000000001,3,40.472750000000005
14,42,14,1.0,1.5,2.0,3.0,100,0.015,5,False,124.65,784.2650000000001,-31.035,10.75,42.6375,203.22,-131.5875,1.5499999999999998,1.33,8.8125,56.087500000000006,-7.522499999999999,-4.555000000000001,3,40.472750000000005
21,42,14,1.0,1.5,2.0,3.0,100,0.015,5,False,129.51500000000001,784.2650000000001,-31.195,11.5,40.525000000000006,244.665,-128.8,1.8125,1.3549999999999998,0.525000000000001,55.6375,-7.8275,-5.215,3,40.471000000000004
21,42,14,1.0,1.5,2.0,3.0,100,0.015,20,False,129.51500000000001,784.2650000000001,-31.195,11.5,40.525000000000006,244.665,-128.8,1.8125,1.3549999999999998,0.525000000000001,55.6375,-7.8275,-5.215,3,40.471000000000004
21,42,14,1.0,1.5,2.0,3.0,100,0.015,10,False,129.51500000000001,784.2650000000001,-31.195,11.5,40.525000000000006,244.665,-128.8,1.8125,1.3549999999999998,0.525000000000001,55.6375,-7.8275,-5.215,3,40.471000000000004
14,42,14,1.0,1.5,2.5,4.0,100,0.015,5,False,124.925,784.2650000000001,-34.155,10.75,42.6375,209.615,-131.9025,1.59,1.32,9.649999999999999,56.75,-7.8575,-4.5600000000000005,3,39.83975000000001
14,42,14,1.0,1.5,2.5,4.0,100,0.015,20,False,124.925,784.2650000000001,-34.155,10.75,42.6375,209.615,-131.9025,1.59,1.32,9.649999999999999,56.75,-7.8575,-4.5600000000000005,3,39.83975000000001
14,42,14,1.0,1.5,2.5,4.0,100,0.015,10,False,124.925,784.2650000000001,-34.155,10.75,42.6375,209.615,-131.9025,1.59,1.32,9.649999999999999,56.75,-7.8575,-4.5600000000000005,3,39.83975000000001
14,84,14,1.0,1.0,2.0,4.0,100,0.015,5,False,107.5275,740.07,-32.07,11.0,49.9225,180.6325,-124.665,1.4175,1.315,23.2625,56.05,-6.9975000000000005,-3.69,3,39.60850000000001
14,84,14,1.0,1.0,2.0,4.0,100,0.015,10,False,107.5275,740.07,-32.07,11.0,49.9225,180.6325,-124.665,1.4175,1.315,23.2625,56.05,-6.9975000000000005,-3.69,3,39.60850000000001
14,84,14,1.0,1.0,2.0,4.0,100,0.015,20,False,107.5275,740.07,-32.07,11.0,49.9225,180.6325,-124.665,1.4175,1.315,23.2625,56.05,-6.9975000000000005,-3.69,3,39.60850000000001
21,42,14,1.0,1.5,2.5,4.0,100,0.015,10,False,128.7575,784.2650000000001,-33.2825,11.5,40.525000000000006,254.29999999999998,-128.1625,1.8800000000000001,1.33,0.1200000000000001,56.5875,-8.1275,-5.2225,3,39.47575000000002
21,42,14,1.0,1.5,2.5,4.0,100,0.015,5,False,128.7575,784.2650000000001,-33.2825,11.5,40.525000000000006,254.29999999999998,-128.1625,1.8800000000000001,1.33,0.1200000000000001,56.5875,-8.1275,-5.2225,3,39.47575000000002
